Código Imóvel;Logradouro;CEP;Bairro;Loteamento;Nº Imóvel;Lote;Quadra
11919;AVENIDA SAO PAULO;13318-000;JACARE;BAIRRO DO JACARE;00S/N;2;4
11920;AVENIDA SAO PAULO;13318-000;JACARE;BAIRRO DO JACARE;00S/N;2;4
11921;AVENIDA SAO PAULO;13318-000;JACARE;BAIRRO DO JACARE;00S/N;2;4
11922;AVENIDA SAO PAULO;13318-000;JACARE;BAIRRO DO JACARE;00S.N;2;4
11923;AVENIDA SAO PAULO;13318-000;JACARE;BAIRRO DO JACARE;00S/N;2;4
11924;AVENIDA SAO PAULO;13318-000;JACARE;BAIRRO DO JACARE;00S.N;2;4
11925;AVENIDA SAO PAULO;13318-000;JACARE;BAIRRO DO JACARE;00S.N;2;4
11926;AVENIDA SAO PAULO;13318-000;JACARE;BAIRRO DO JACARE;00S.N;2;4
11927;AVENIDA SAO PAULO;13318-000;JACARE;BAIRRO DO JACARE;00S.N;2;4
11928;AVENIDA SAO PAULO;13318-000;JACARE;BAIRRO DO JACARE;00S.N;2;4
11929;AVENIDA SAO PAULO;13318-000;JACARE;BAIRRO DO JACARE;00S.N;2;4
11930;AVENIDA SAO PAULO;13318-000;JACARE;BAIRRO DO JACARE;00S.N;2;4
