Código Imóvel;Logradouro;CEP;Bairro;Loteamento;Nº Imóvel;Lote;Quadra
11687;RUA INGLATERRA;00000-000;BONFIM;VILAREJO S DA SERRA;686;24-B;T
11688;RUA INGLATERRA;00000-000;BONFIM;VILAREJO S DA SERRA;00S/N;24-A;T
11689;AVENIDA ESPANHA;00000-000;BONFIM;VILAREJO S DA SERRA;896;05-B;Z
11690;AVENIDA ESPANHA;00000-000;BONFIM;VILAREJO S DA SERRA;000SN;05-C;Z
11691;AVENIDA ESPANHA;00000-000;BONFIM;VILAREJO S DA SERRA;000SN;05-D;Z
11692;RUA YUGUSLAVIA;00000-000;BONFIM;VILAREJO S DA SERRA;104;02-B;AB
11693;RUA YUGUSLAVIA;00000-000;BONFIM;VILAREJO S DA SERRA;106;02-C;AB
11694;RUA YUGUSLAVIA;00000-000;BONFIM;VILAREJO S DA SERRA;108;02-D;AB
11695;AVENIDA VEREADOR JOSE DONATO;00000-000;BONFIM;VILAREJO S DA SERRA;2380;04-B;A
11696;AVENIDA VEREADOR JOSE DONATO;00000-000;BONFIM;VILAREJO S DA SERRA;2386;04-C;A
11697;AVENIDA VEREADOR JOSE DONATO;00000-000;BONFIM;VILAREJO S DA SERRA;2392;04-D;A
11698;RUA QUENIA;00000-000;BONFIM;VILAREJO S DA SERRA;93;14-A;A
11699;AVENIDA ADELIA B. DE OLIVEIRA;00000-000;BONFIM;VILAREJO S DA SERRA;239;41-B;AJ
11700;RUA TCHESCOSLOVAQUIA;00000-000;BONFIM;VILAREJO S DA SERRA;00S/N;12-B;AN
11701;RUA TCHESCOSLOVAQUIA;00000-000;BONFIM;VILAREJO S DA SERRA;00S/N;12-C;AN
11702;RUA TCHESCOSLOVAQUIA;00000-000;BONFIM;VILAREJO S DA SERRA;00S/N;12-D;AN
11703;RUA YUGUSLAVIA;00000-000;BONFIM;VILAREJO S DA SERRA;115;13-B;AA
11704;RUA MADAGASCAR;00000-000;BONFIM;VILAREJO S DA SERRA;91;C-13;AA
11705;RUA MADAGASCAR;00000-000;BONFIM;VILAREJO S DA SERRA;111;13-D;AA
11706;RUA MADAGASCAR;00000-000;BONFIM;VILAREJO S DA SERRA;107;13-E;AA
11707;RUA MADAGASCAR;00000-000;BONFIM;VILAREJO S DA SERRA;101;13-F;AA
11708;RUA MADAGASCAR;00000-000;BONFIM;VILAREJO S DA SERRA;67;13-G;AA
11709;RUA MADAGASCAR;00000-000;BONFIM;VILAREJO S DA SERRA;65;13-H;AA
11710;AVENIDA VEREADOR JOSE DONATO;00000-000;BONFIM;VILAREJO S DA SERRA;1499;28-B;AQ
11711;AVENIDA VEREADOR JOSE DONATO;00000-000;BONFIM;VILAREJO S DA SERRA;1495;28-C;AQ
11712;AVENIDA VEREADOR JOSE DONATO;00000-000;BONFIM;VILAREJO S DA SERRA;1461;30-B;AQ
11713;RUA INDIA;00000-000;BONFIM;VILAREJO S DA SERRA;56;08-B;AX
11714;RUA INDIA;00000-000;BONFIM;VILAREJO S DA SERRA;62;08-C;AX
11715;RUA INDIA;00000-000;BONFIM;VILAREJO S DA SERRA;58;08-D;AX
11716;RUA KUWAIT;00000-000;BONFIM;VILAREJO S DA SERRA;325;25-B;AP
11717;RUA KUWAIT;00000-000;BONFIM;VILAREJO S DA SERRA;323;25-C;AP
11718;RUA KUWAIT;00000-000;BONFIM;VILAREJO S DA SERRA;315;25-D;AP
11719;RUA LIBANO;00000-000;BONFIM;VILAREJO S DA SERRA;630;16-B;AP
11720;AVENIDA VEREADOR JOSE DONATO;00000-000;BONFIM;VILAREJO S DA SERRA;2054;10-E;P
11721;AVENIDA VEREADOR JOSE DONATO;00000-000;BONFIM;VILAREJO S DA SERRA;1950/;10-D;P
11722;AVENIDA VEREADOR JOSE DONATO;00000-000;BONFIM;VILAREJO S DA SERRA;1974;10-C;P
11723;AVENIDA VEREADOR JOSE DONATO;00000-000;BONFIM;VILAREJO S DA SERRA;00S/N;10-B;P
11724;AVENIDA VEREADOR JOSE DONATO;00000-000;BONFIM;VILAREJO S DA SERRA;1994;10-A;P
11725;RUA MONSENHOR ANDRE MORTARI;00000-000;BONFIM;VILAREJO S DA SERRA;00S/N;15-B;AF
11726;RUA MONSENHOR ANDRE MORTARI;00000-000;BONFIM;VILAREJO S DA SERRA;00S/N;15-C;AF
11727;RUA MONSENHOR ANDRE MORTARI;00000-000;BONFIM;VILAREJO S DA SERRA;00S/N;15-D;AF
11728;RUA MONSENHOR ANDRE MORTARI;00000-000;BONFIM;VILAREJO S DA SERRA;00S/N;15-E;AF
11729;RUA JORDANIA;00000-000;BONFIM;VILAREJO S DA SERRA;00S/N;B-28;AT
11730;RUA LIBANO;00000-000;BONFIM;VILAREJO S DA SERRA;546;12-B;AP
11731;RUA LIBANO;00000-000;BONFIM;VILAREJO S DA SERRA;550;12-C;AP
11732;RUA SUECIA;00000-000;BONFIM;VILAREJO S DA SERRA;260;12-B;AI
11733;RUA CHINA;00000-000;BONFIM;VILAREJO S DA SERRA;309;26-B;AI
11734;RUA CHINA;00000-000;BONFIM;VILAREJO S DA SERRA;305;26-C;AI
11735;RUA CHINA;00000-000;BONFIM;VILAREJO S DA SERRA;295;26-D;AI
11736;RUA FRANCA;00000-000;BONFIM;VILAREJO S DA SERRA;00S/N;28-B;Y
11737;ESTRADA DO CAI;13315-000;CAI;;000SN;GLEBA;UN
11738;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;0;AREA VERDE 04;A
11739;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;245;10;A
11740;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;9;A
11741;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;197;8;A
11742;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;173;7;A
11743;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;6;A
11744;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;5;A
11745;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;4;A
11746;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;77;3;A
11747;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;51;01 E 02;A
11749;ESTRADA MUNICIPAL;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;AREA INST. 01;A
11750;RODOVIA DOM GABRIEL PAULINO BUENO COUTO;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;AREA COMERCIAL A;A
11751;RODOVIA DOM GABRIEL PAULINO BUENO COUTO;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;AREA INST. 02;A
11752;RODOVIA DOM GABRIEL PAULINO BUENO COUTO;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;AREA PRES. PERM.;A
11753;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;AREA VERDE 05;B
11754;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;6;B
11755;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;381;5;B
11756;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;357;4;B
11757;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;3;B
11758;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;65;2;B
11759;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;285;1;B
11760;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;8;D
11761;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;9;D
11762;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;200;10;D
11763;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;11;D
11764;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;AREA VERDE 01;C
11765;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;12;D
11766;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;13;D
11767;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;1;C
11768;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;14;D
11769;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;54;2;C
11770;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;30;3;C
11771;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;88;15;D
